Day_of_Week,Age_of_Driver,Sex,Educational_Level,Vehicle_Driver,Driving_Experience,Speed_Limit,Weather,Road_Light_Conditions,Road_Surface_Conditions,Cause_of_Accident,Accident_Severity
Friday,33,Female,Illiterate,Motorcycle,12,60,Clear,Night,Ice,Overspeed,Serious Injury
Friday,29,Male,Primary,Motorcycle,27,100,Clear,Daylight,Dry,Fatigue,Slight Injury
Friday,25,Female,Secondary,Automobile,10,50,Fog,Twilight,Dry,Drunk Driving,Serious Injury
Sunday,37,Male,Primary,Automobile,24,80,Rain,Night,Ice,Distracted,Serious Injury
Friday,20,Female,Secondary,Lorry,18,100,Clear,Twilight,Snow,Weather,Serious Injury
Saturday,33,Female,Primary,Lorry,2,30,Clear,Daylight,Ice,Weather,Serious Injury
Friday,47,Female,Tertiary,Automobile,14,30,Fog,Twilight,Dry,Drunk Driving,Serious Injury
Wednesday,62,Female,Illiterate,Bus,6,70,Rain,Night,Dry,Weather,Serious Injury
Thursday,40,Female,Illiterate,Bus,6,70,Rain,Night,Dry,Mechanical Failure,Serious Injury
Friday,45,Female,Tertiary,Motorcycle,5,80,Cloudy,Daylight,Snow,Distracted,Serious Injury
Thursday,68,Female,Tertiary,Taxi,2,100,Cloudy,Night,Snow,Drunk Driving,Fatal Injury
Wednesday,57,Female,Illiterate,Motorcycle,29,100,Fog,Twilight,Snow,Distracted,Serious Injury
Wednesday,22,Female,Tertiary,Motorcycle,12,30,Rain,Twilight,Dry,Overspeed,Serious Injury
Thursday,37,Male,Secondary,Taxi,6,80,Fog,Twilight,Wet,Distracted,Serious Injury
Monday,57,Male,Primary,Automobile,4,30,Cloudy,Twilight,Ice,Distracted,Slight Injury
Tuesday,61,Female,Illiterate,Bus,22,70,Fog,Daylight,Ice,Overspeed,Fatal Injury
Sunday,18,Male,Tertiary,Motorcycle,17,60,Fog,Twilight,Dry,Drunk Driving,Serious Injury
Monday,47,Female,Secondary,Taxi,21,40,Clear,Daylight,Snow,Distracted,Slight Injury
Monday,38,Female,Illiterate,Lorry,29,40,Clear,Twilight,Wet,Fatigue,Slight Injury
Saturday,37,Male,Tertiary,Motorcycle,7,30,Clear,Daylight,Wet,Distracted,Slight Injury
Sunday,23,Female,Illiterate,Bus,16,100,Cloudy,Twilight,Snow,Drunk Driving,Fatal Injury
Sunday,39,Female,Tertiary,Automobile,19,70,Fog,Twilight,Ice,Weather,Serious Injury
Monday,35,Male,Illiterate,Motorcycle,26,50,Clear,Daylight,Ice,Overspeed,Serious Injury
Friday,25,Male,Secondary,Motorcycle,0,50,Clear,Night,Wet,Weather,Serious Injury
Saturday,56,Female,Secondary,Taxi,13,40,Clear,Night,Wet,Drunk Driving,Serious Injury
Saturday,49,Male,Primary,Lorry,16,60,Cloudy,Night,Snow,Mechanical Failure,Slight Injury
Wednesday,50,Male,Illiterate,Lorry,9,40,Cloudy,Daylight,Ice,Weather,Slight Injury
Sunday,33,Female,Primary,Automobile,11,30,Fog,Night,Wet,Distracted,Slight Injury
Monday,29,Male,Illiterate,Bus,15,60,Fog,Night,Ice,Distracted,Slight Injury
Wednesday,55,Male,Tertiary,Automobile,13,50,Fog,Daylight,Wet,Overspeed,Serious Injury
Thursday,69,Female,Tertiary,Motorcycle,29,100,Clear,Night,Snow,Distracted,Serious Injury
Tuesday,51,Male,Primary,Motorcycle,26,70,Rain,Night,Ice,Fatigue,Serious Injury
Saturday,31,Male,Illiterate,Lorry,15,70,Cloudy,Night,Wet,Fatigue,Serious Injury
Thursday,53,Female,Primary,Bus,7,30,Clear,Daylight,Wet,Weather,Slight Injury
Thursday,50,Female,Secondary,Taxi,22,40,Clear,Daylight,Wet,Drunk Driving,Serious Injury
Friday,40,Female,Primary,Bus,27,30,Fog,Night,Wet,Overspeed,Serious Injury
Tuesday,67,Male,Primary,Motorcycle,9,70,Fog,Night,Snow,Mechanical Failure,Serious Injury
Thursday,62,Female,Tertiary,Taxi,28,50,Clear,Daylight,Ice,Weather,Slight Injury
Thursday,19,Female,Primary,Bus,16,70,Cloudy,Night,Ice,Drunk Driving,Fatal Injury
Tuesday,58,Male,Illiterate,Bus,26,60,Cloudy,Daylight,Dry,Overspeed,Slight Injury
Tuesday,38,Female,Tertiary,Taxi,29,100,Clear,Night,Ice,Overspeed,Serious Injury
Thursday,19,Female,Primary,Motorcycle,28,100,Rain,Daylight,Dry,Weather,Serious Injury
Tuesday,44,Female,Secondary,Bus,17,80,Rain,Twilight,Wet,Drunk Driving,Fatal Injury
Thursday,26,Female,Primary,Taxi,19,70,Cloudy,Twilight,Snow,Drunk Driving,Serious Injury
Thursday,18,Male,Primary,Motorcycle,15,70,Fog,Daylight,Snow,Distracted,Serious Injury
Friday,28,Female,Primary,Taxi,16,100,Rain,Twilight,Wet,Mechanical Failure,Serious Injury
Monday,20,Female,Tertiary,Taxi,15,80,Rain,Night,Dry,Fatigue,Serious Injury
Thursday,69,Male,Illiterate,Bus,18,60,Fog,Daylight,Wet,Distracted,Slight Injury
Wednesday,40,Female,Secondary,Motorcycle,23,40,Rain,Daylight,Snow,Overspeed,Serious Injury
Saturday,43,Male,Primary,Bus,23,70,Clear,Night,Snow,Mechanical Failure,Serious Injury
Sunday,21,Male,Illiterate,Automobile,7,100,Rain,Night,Ice,Mechanical Failure,Serious Injury
Monday,35,Male,Illiterate,Automobile,5,30,Fog,Daylight,Dry,Drunk Driving,Serious Injury
Monday,23,Female,Tertiary,Motorcycle,5,70,Clear,Night,Ice,Mechanical Failure,Serious Injury
Monday,52,Male,Secondary,Taxi,20,30,Rain,Daylight,Snow,Weather,Slight Injury
Friday,39,Male,Tertiary,Bus,28,60,Cloudy,Night,Snow,Mechanical Failure,Slight Injury
Thursday,60,Male,Illiterate,Bus,8,70,Clear,Daylight,Ice,Overspeed,Serious Injury
Friday,32,Female,Illiterate,Motorcycle,3,100,Clear,Night,Ice,Weather,Serious Injury
Thursday,39,Female,Illiterate,Motorcycle,25,60,Cloudy,Night,Snow,Weather,Slight Injury
Friday,54,Female,Tertiary,Automobile,11,60,Cloudy,Twilight,Ice,Distracted,Slight Injury
Friday,69,Female,Secondary,Lorry,27,40,Rain,Twilight,Ice,Mechanical Failure,Slight Injury
Saturday,59,Female,Primary,Motorcycle,11,70,Rain,Twilight,Dry,Drunk Driving,Serious Injury
Wednesday,29,Female,Tertiary,Lorry,22,30,Fog,Night,Snow,Distracted,Slight Injury
Friday,64,Female,Illiterate,Motorcycle,16,30,Fog,Daylight,Wet,Drunk Driving,Serious Injury
Saturday,66,Male,Tertiary,Taxi,14,70,Clear,Night,Dry,Mechanical Failure,Slight Injury
Tuesday,59,Male,Illiterate,Taxi,8,80,Cloudy,Twilight,Wet,Distracted,Serious Injury
Wednesday,55,Male,Primary,Automobile,6,40,Cloudy,Night,Ice,Mechanical Failure,Slight Injury
Friday,35,Male,Primary,Automobile,9,40,Fog,Twilight,Ice,Overspeed,Serious Injury
Sunday,62,Female,Secondary,Lorry,15,40,Clear,Twilight,Wet,Distracted,Slight Injury
Monday,52,Male,Illiterate,Motorcycle,11,30,Clear,Daylight,Ice,Drunk Driving,Serious Injury
Tuesday,47,Male,Secondary,Bus,24,60,Fog,Daylight,Ice,Overspeed,Serious Injury
Tuesday,41,Male,Secondary,Automobile,6,100,Fog,Twilight,Dry,Fatigue,Serious Injury
Saturday,59,Male,Primary,Bus,17,80,Fog,Twilight,Wet,Drunk Driving,Fatal Injury
Tuesday,47,Female,Tertiary,Bus,14,40,Rain,Night,Dry,Mechanical Failure,Slight Injury
Wednesday,31,Female,Tertiary,Motorcycle,5,30,Clear,Twilight,Wet,Drunk Driving,Serious Injury
Friday,23,Female,Secondary,Lorry,25,30,Clear,Night,Dry,Fatigue,Slight Injury
Friday,20,Male,Primary,Motorcycle,11,60,Clear,Twilight,Snow,Drunk Driving,Serious Injury
Sunday,33,Female,Illiterate,Automobile,10,70,Fog,Daylight,Snow,Overspeed,Fatal Injury
Monday,24,Male,Tertiary,Bus,19,70,Fog,Daylight,Wet,Weather,Serious Injury
Saturday,69,Female,Secondary,Motorcycle,2,100,Fog,Twilight,Snow,Drunk Driving,Fatal Injury
Monday,31,Female,Tertiary,Motorcycle,1,100,Fog,Night,Dry,Distracted,Serious Injury
Tuesday,26,Female,Tertiary,Motorcycle,5,40,Cloudy,Night,Wet,Fatigue,Slight Injury
Sunday,32,Female,Illiterate,Automobile,23,100,Fog,Night,Snow,Drunk Driving,Fatal Injury
Monday,38,Female,Primary,Lorry,21,40,Rain,Twilight,Snow,Fatigue,Slight Injury
Wednesday,52,Male,Illiterate,Motorcycle,24,80,Cloudy,Twilight,Wet,Weather,Serious Injury
Friday,19,Female,Primary,Automobile,29,100,Cloudy,Daylight,Snow,Overspeed,Fatal Injury
Tuesday,44,Male,Tertiary,Bus,4,60,Fog,Daylight,Snow,Distracted,Slight Injury
Sunday,19,Male,Secondary,Taxi,17,40,Clear,Twilight,Wet,Mechanical Failure,Slight Injury
Monday,52,Male,Illiterate,Automobile,15,60,Fog,Daylight,Snow,Drunk Driving,Serious Injury
Saturday,35,Male,Primary,Taxi,7,30,Clear,Night,Snow,Overspeed,Serious Injury
Wednesday,31,Male,Tertiary,Motorcycle,24,40,Fog,Night,Snow,Fatigue,Slight Injury
Wednesday,37,Female,Primary,Motorcycle,29,30,Fog,Twilight,Snow,Weather,Slight Injury
Monday,35,Female,Primary,Automobile,25,50,Clear,Night,Ice,Fatigue,Slight Injury
Friday,27,Female,Primary,Taxi,19,60,Clear,Twilight,Wet,Weather,Slight Injury
Monday,42,Female,Tertiary,Motorcycle,21,50,Clear,Night,Ice,Weather,Slight Injury
Tuesday,19,Male,Secondary,Bus,10,40,Clear,Twilight,Ice,Overspeed,Serious Injury
Monday,42,Female,Secondary,Lorry,9,30,Rain,Night,Dry,Drunk Driving,Serious Injury
Wednesday,50,Female,Secondary,Lorry,23,40,Clear,Night,Ice,Mechanical Failure,Slight Injury
Sunday,53,Male,Primary,Motorcycle,24,50,Fog,Daylight,Ice,Drunk Driving,Serious Injury
Monday,48,Male,Tertiary,Taxi,11,40,Fog,Daylight,Dry,Distracted,Slight Injury
Friday,31,Female,Primary,Motorcycle,20,80,Rain,Daylight,Snow,Drunk Driving,Fatal Injury
Sunday,18,Female,Secondary,Taxi,27,70,Clear,Daylight,Snow,Weather,Serious Injury
Saturday,63,Male,Secondary,Bus,5,50,Fog,Daylight,Ice,Weather,Slight Injury
Thursday,33,Female,Tertiary,Taxi,26,40,Rain,Daylight,Dry,Distracted,Slight Injury
Monday,63,Female,Primary,Motorcycle,19,30,Fog,Twilight,Snow,Fatigue,Slight Injury
Friday,69,Female,Illiterate,Bus,4,40,Rain,Twilight,Dry,Weather,Slight Injury
Sunday,20,Female,Illiterate,Automobile,22,30,Rain,Daylight,Wet,Distracted,Serious Injury
Friday,52,Male,Secondary,Lorry,8,70,Cloudy,Twilight,Wet,Weather,Serious Injury
Saturday,58,Male,Tertiary,Motorcycle,25,40,Cloudy,Daylight,Wet,Mechanical Failure,Slight Injury
Wednesday,23,Male,Primary,Motorcycle,26,100,Clear,Twilight,Wet,Weather,Serious Injury
Friday,42,Female,Primary,Motorcycle,28,100,Cloudy,Night,Ice,Overspeed,Serious Injury
Sunday,30,Female,Secondary,Bus,15,70,Rain,Twilight,Wet,Distracted,Serious Injury
Friday,51,Female,Secondary,Automobile,21,50,Fog,Twilight,Wet,Drunk Driving,Serious Injury
Friday,25,Female,Primary,Taxi,13,30,Fog,Twilight,Dry,Distracted,Slight Injury
Friday,38,Female,Primary,Automobile,21,100,Clear,Night,Snow,Fatigue,Serious Injury
Tuesday,51,Male,Secondary,Bus,7,80,Cloudy,Daylight,Dry,Weather,Slight Injury
Tuesday,21,Female,Primary,Motorcycle,26,50,Clear,Twilight,Ice,Distracted,Slight Injury
Wednesday,42,Female,Illiterate,Lorry,19,30,Rain,Twilight,Wet,Mechanical Failure,Slight Injury
Monday,32,Male,Secondary,Motorcycle,18,70,Cloudy,Night,Snow,Distracted,Serious Injury
Friday,21,Female,Primary,Taxi,13,100,Clear,Daylight,Snow,Mechanical Failure,Serious Injury
Saturday,62,Male,Secondary,Lorry,6,60,Fog,Twilight,Wet,Weather,Slight Injury
Monday,29,Male,Tertiary,Motorcycle,4,40,Fog,Night,Wet,Drunk Driving,Serious Injury
Saturday,49,Male,Secondary,Lorry,17,70,Clear,Daylight,Ice,Weather,Serious Injury
Monday,49,Male,Secondary,Automobile,1,30,Clear,Daylight,Ice,Fatigue,Serious Injury
Wednesday,45,Male,Tertiary,Bus,10,30,Clear,Twilight,Wet,Overspeed,Serious Injury
Friday,30,Female,Illiterate,Motorcycle,21,30,Rain,Twilight,Wet,Drunk Driving,Serious Injury
Friday,48,Male,Primary,Taxi,7,30,Rain,Twilight,Wet,Drunk Driving,Serious Injury
Thursday,31,Male,Tertiary,Automobile,0,40,Fog,Twilight,Wet,Overspeed,Fatal Injury
Saturday,37,Female,Secondary,Motorcycle,26,50,Rain,Night,Snow,Distracted,Slight Injury
Monday,35,Female,Primary,Automobile,21,80,Rain,Night,Ice,Weather,Serious Injury
Monday,46,Male,Tertiary,Taxi,11,60,Cloudy,Twilight,Wet,Distracted,Slight Injury
Tuesday,23,Female,Primary,Motorcycle,1,40,Rain,Daylight,Wet,Distracted,Serious Injury
Thursday,49,Female,Primary,Taxi,17,30,Cloudy,Twilight,Snow,Weather,Slight Injury
Sunday,46,Male,Tertiary,Lorry,6,40,Rain,Daylight,Dry,Fatigue,Slight Injury
Sunday,60,Male,Primary,Taxi,25,70,Fog,Daylight,Wet,Drunk Driving,Fatal Injury
Tuesday,19,Female,Illiterate,Lorry,16,80,Clear,Daylight,Snow,Mechanical Failure,Serious Injury
Tuesday,40,Male,Tertiary,Motorcycle,21,30,Fog,Night,Snow,Overspeed,Serious Injury
Tuesday,36,Male,Illiterate,Lorry,29,60,Rain,Daylight,Dry,Drunk Driving,Serious Injury
Saturday,48,Female,Secondary,Motorcycle,22,30,Clear,Daylight,Ice,Distracted,Slight Injury
Saturday,68,Male,Primary,Motorcycle,13,80,Clear,Night,Ice,Overspeed,Serious Injury
Wednesday,22,Male,Secondary,Bus,23,60,Clear,Daylight,Ice,Mechanical Failure,Slight Injury
Wednesday,36,Male,Secondary,Motorcycle,6,80,Cloudy,Daylight,Wet,Drunk Driving,Serious Injury
Tuesday,51,Male,Primary,Lorry,21,60,Fog,Twilight,Ice,Drunk Driving,Serious Injury
Thursday,27,Male,Tertiary,Bus,24,50,Cloudy,Daylight,Wet,Fatigue,Slight Injury
Monday,42,Female,Primary,Bus,28,100,Clear,Daylight,Wet,Drunk Driving,Serious Injury
Saturday,19,Female,Secondary,Motorcycle,2,50,Fog,Daylight,Snow,Drunk Driving,Fatal Injury
Thursday,28,Male,Secondary,Taxi,26,40,Fog,Daylight,Ice,Mechanical Failure,Slight Injury
Friday,67,Female,Tertiary,Taxi,5,40,Rain,Daylight,Ice,Mechanical Failure,Slight Injury
Saturday,48,Male,Primary,Bus,19,60,Cloudy,Night,Ice,Overspeed,Serious Injury
Saturday,32,Male,Secondary,Motorcycle,1,30,Cloudy,Daylight,Wet,Distracted,Serious Injury
Wednesday,26,Male,Illiterate,Taxi,16,100,Rain,Daylight,Wet,Mechanical Failure,Serious Injury
Monday,40,Male,Secondary,Motorcycle,11,70,Cloudy,Night,Ice,Overspeed,Serious Injury
Monday,36,Male,Secondary,Motorcycle,11,70,Clear,Night,Wet,Drunk Driving,Serious Injury
Sunday,26,Female,Tertiary,Bus,29,30,Clear,Daylight,Wet,Overspeed,Serious Injury
Sunday,52,Female,Illiterate,Bus,16,30,Cloudy,Daylight,Dry,Overspeed,Slight Injury
Sunday,38,Male,Secondary,Automobile,26,50,Rain,Daylight,Dry,Overspeed,Serious Injury
Sunday,26,Female,Secondary,Taxi,9,70,Fog,Twilight,Ice,Weather,Serious Injury
Friday,45,Male,Illiterate,Taxi,2,60,Cloudy,Twilight,Ice,Overspeed,Serious Injury
Friday,63,Female,Primary,Taxi,19,80,Fog,Daylight,Dry,Mechanical Failure,Serious Injury
Saturday,68,Male,Primary,Lorry,17,40,Rain,Night,Wet,Weather,Slight Injury
Tuesday,24,Female,Secondary,Motorcycle,12,80,Fog,Daylight,Wet,Distracted,Serious Injury
Wednesday,33,Male,Secondary,Bus,11,50,Rain,Night,Snow,Overspeed,Serious Injury
Wednesday,33,Male,Primary,Taxi,26,70,Rain,Night,Ice,Fatigue,Serious Injury
Sunday,50,Female,Tertiary,Automobile,26,100,Clear,Night,Ice,Drunk Driving,Serious Injury
Saturday,21,Female,Illiterate,Taxi,29,30,Clear,Daylight,Ice,Drunk Driving,Serious Injury
Thursday,21,Male,Illiterate,Motorcycle,26,100,Rain,Daylight,Snow,Weather,Serious Injury
Tuesday,56,Female,Tertiary,Motorcycle,16,100,Cloudy,Night,Snow,Drunk Driving,Serious Injury
Saturday,57,Male,Tertiary,Bus,3,70,Clear,Twilight,Wet,Drunk Driving,Serious Injury
Tuesday,34,Female,Tertiary,Lorry,22,60,Rain,Twilight,Dry,Weather,Slight Injury
Tuesday,54,Female,Tertiary,Bus,9,50,Fog,Twilight,Dry,Drunk Driving,Serious Injury
Tuesday,56,Male,Tertiary,Taxi,10,30,Fog,Night,Dry,Overspeed,Serious Injury
Saturday,69,Female,Tertiary,Automobile,5,80,Cloudy,Daylight,Wet,Distracted,Serious Injury
Sunday,46,Female,Illiterate,Bus,5,60,Fog,Night,Dry,Weather,Slight Injury
Wednesday,69,Male,Tertiary,Lorry,26,80,Fog,Twilight,Snow,Fatigue,Serious Injury
Wednesday,53,Female,Primary,Bus,8,40,Rain,Daylight,Snow,Weather,Slight Injury
Sunday,55,Male,Tertiary,Motorcycle,29,50,Fog,Night,Ice,Mechanical Failure,Slight Injury
Tuesday,56,Male,Tertiary,Taxi,14,60,Fog,Night,Dry,Fatigue,Slight Injury
Thursday,67,Male,Illiterate,Taxi,1,60,Fog,Twilight,Snow,Mechanical Failure,Serious Injury
Monday,54,Male,Illiterate,Taxi,3,80,Fog,Night,Ice,Weather,Serious Injury
Saturday,69,Male,Tertiary,Taxi,4,30,Rain,Daylight,Dry,Mechanical Failure,Slight Injury
Monday,52,Female,Illiterate,Taxi,16,40,Fog,Twilight,Dry,Fatigue,Slight Injury
Sunday,24,Male,Secondary,Taxi,7,80,Cloudy,Twilight,Snow,Overspeed,Fatal Injury
Thursday,44,Male,Illiterate,Automobile,7,60,Clear,Daylight,Ice,Weather,Slight Injury
Saturday,45,Female,Illiterate,Lorry,21,50,Cloudy,Twilight,Ice,Weather,Slight Injury
Sunday,39,Female,Illiterate,Taxi,11,60,Clear,Night,Snow,Drunk Driving,Serious Injury
Tuesday,31,Female,Illiterate,Lorry,20,70,Cloudy,Night,Snow,Weather,Serious Injury
Wednesday,24,Male,Primary,Taxi,7,50,Clear,Twilight,Snow,Weather,Slight Injury
Monday,54,Male,Primary,Bus,18,50,Clear,Daylight,Dry,Overspeed,Slight Injury
Friday,39,Male,Primary,Taxi,2,60,Clear,Night,Snow,Drunk Driving,Serious Injury
Friday,22,Female,Tertiary,Motorcycle,17,30,Clear,Daylight,Snow,Distracted,Slight Injury
Thursday,19,Male,Tertiary,Automobile,20,50,Rain,Night,Wet,Mechanical Failure,Serious Injury
Tuesday,44,Female,Secondary,Bus,18,70,Cloudy,Night,Snow,Fatigue,Serious Injury
Monday,38,Male,Primary,Bus,18,80,Clear,Twilight,Snow,Distracted,Serious Injury
Tuesday,55,Female,Tertiary,Motorcycle,14,30,Cloudy,Twilight,Dry,Drunk Driving,Slight Injury
Monday,32,Male,Illiterate,Taxi,5,30,Fog,Daylight,Ice,Overspeed,Serious Injury
Thursday,38,Male,Illiterate,Automobile,15,30,Clear,Twilight,Dry,Fatigue,Slight Injury
Thursday,27,Male,Primary,Bus,7,50,Cloudy,Night,Wet,Mechanical Failure,Slight Injury
Friday,40,Female,Secondary,Automobile,15,30,Rain,Night,Snow,Weather,Slight Injury
Tuesday,56,Female,Secondary,Bus,17,60,Cloudy,Daylight,Snow,Weather,Slight Injury
Saturday,22,Male,Illiterate,Taxi,19,30,Clear,Daylight,Snow,Distracted,Slight Injury
Friday,18,Male,Secondary,Bus,15,70,Fog,Night,Snow,Mechanical Failure,Serious Injury
Tuesday,30,Male,Primary,Bus,10,40,Cloudy,Twilight,Snow,Drunk Driving,Serious Injury
Friday,38,Female,Illiterate,Lorry,6,70,Fog,Twilight,Snow,Mechanical Failure,Serious Injury
Saturday,43,Male,Tertiary,Taxi,16,50,Rain,Daylight,Wet,Overspeed,Serious Injury
Wednesday,67,Male,Tertiary,Motorcycle,16,30,Cloudy,Daylight,Snow,Distracted,Slight Injury
Wednesday,62,Male,Secondary,Motorcycle,11,30,Cloudy,Night,Snow,Distracted,Slight Injury
Wednesday,38,Male,Illiterate,Taxi,12,60,Rain,Night,Snow,Overspeed,Serious Injury
Wednesday,35,Female,Illiterate,Motorcycle,9,80,Rain,Daylight,Wet,Mechanical Failure,Serious Injury
Sunday,54,Female,Tertiary,Taxi,6,30,Rain,Night,Snow,Overspeed,Serious Injury
Monday,62,Male,Illiterate,Motorcycle,13,100,Clear,Daylight,Wet,Fatigue,Serious Injury
Sunday,49,Male,Illiterate,Lorry,22,70,Clear,Daylight,Dry,Overspeed,Serious Injury
Sunday,53,Female,Illiterate,Motorcycle,0,50,Cloudy,Twilight,Snow,Mechanical Failure,Serious Injury
Sunday,34,Female,Secondary,Bus,16,40,Cloudy,Daylight,Ice,Overspeed,Serious Injury
Wednesday,52,Male,Illiterate,Taxi,3,30,Cloudy,Night,Wet,Drunk Driving,Serious Injury
Saturday,66,Female,Primary,Automobile,20,40,Fog,Twilight,Dry,Weather,Slight Injury
Thursday,28,Female,Secondary,Automobile,4,30,Rain,Twilight,Wet,Overspeed,Serious Injury
Thursday,38,Male,Illiterate,Taxi,19,50,Cloudy,Night,Wet,Weather,Slight Injury
Monday,69,Female,Illiterate,Lorry,23,80,Rain,Night,Dry,Overspeed,Serious Injury
Wednesday,43,Female,Primary,Motorcycle,22,70,Clear,Night,Snow,Mechanical Failure,Serious Injury
Wednesday,21,Male,Secondary,Lorry,24,50,Rain,Daylight,Snow,Fatigue,Serious Injury
Wednesday,51,Male,Tertiary,Automobile,6,40,Fog,Twilight,Wet,Fatigue,Slight Injury
Friday,69,Female,Tertiary,Taxi,9,30,Fog,Daylight,Dry,Weather,Slight Injury
Tuesday,65,Male,Secondary,Taxi,16,40,Rain,Daylight,Snow,Mechanical Failure,Slight Injury
Friday,35,Female,Illiterate,Lorry,28,70,Fog,Daylight,Wet,Mechanical Failure,Serious Injury
Tuesday,57,Male,Illiterate,Lorry,29,100,Fog,Daylight,Ice,Mechanical Failure,Serious Injury
Wednesday,52,Female,Tertiary,Motorcycle,6,50,Clear,Twilight,Dry,Drunk Driving,Slight Injury
Wednesday,58,Male,Tertiary,Bus,0,40,Cloudy,Twilight,Ice,Distracted,Serious Injury
Friday,46,Female,Tertiary,Bus,6,40,Fog,Daylight,Ice,Overspeed,Serious Injury
Friday,69,Female,Primary,Motorcycle,25,70,Cloudy,Night,Wet,Mechanical Failure,Serious Injury
Tuesday,46,Female,Tertiary,Bus,23,100,Rain,Twilight,Dry,Mechanical Failure,Serious Injury
Thursday,55,Male,Primary,Automobile,10,30,Rain,Daylight,Snow,Mechanical Failure,Slight Injury
Tuesday,59,Male,Secondary,Bus,8,100,Fog,Night,Snow,Fatigue,Serious Injury
Friday,38,Female,Illiterate,Motorcycle,11,40,Rain,Night,Wet,Mechanical Failure,Slight Injury
Saturday,59,Female,Tertiary,Bus,2,70,Clear,Daylight,Snow,Overspeed,Fatal Injury
Friday,30,Male,Illiterate,Taxi,3,30,Fog,Twilight,Snow,Mechanical Failure,Slight Injury
Saturday,66,Male,Illiterate,Lorry,3,100,Fog,Night,Ice,Overspeed,Fatal Injury
Monday,58,Male,Tertiary,Automobile,27,100,Fog,Twilight,Ice,Drunk Driving,Fatal Injury
Friday,34,Male,Tertiary,Taxi,24,100,Rain,Twilight,Dry,Distracted,Serious Injury
Monday,26,Male,Secondary,Taxi,12,80,Rain,Night,Ice,Fatigue,Serious Injury
Thursday,58,Male,Primary,Motorcycle,22,30,Fog,Daylight,Snow,Overspeed,Serious Injury
Tuesday,18,Female,Primary,Lorry,18,100,Cloudy,Night,Dry,Weather,Serious Injury
Saturday,19,Male,Illiterate,Lorry,9,80,Rain,Night,Dry,Drunk Driving,Fatal Injury
Tuesday,65,Female,Tertiary,Automobile,4,50,Rain,Twilight,Wet,Distracted,Slight Injury
Monday,46,Male,Secondary,Motorcycle,6,70,Fog,Daylight,Ice,Distracted,Serious Injury
Saturday,50,Male,Secondary,Automobile,23,100,Cloudy,Twilight,Dry,Distracted,Slight Injury
Tuesday,27,Female,Secondary,Bus,15,30,Fog,Night,Snow,Overspeed,Serious Injury
Friday,67,Female,Secondary,Taxi,0,80,Rain,Daylight,Dry,Drunk Driving,Fatal Injury
Wednesday,57,Male,Secondary,Automobile,11,80,Fog,Daylight,Dry,Mechanical Failure,Serious Injury
Monday,38,Female,Primary,Taxi,1,50,Fog,Daylight,Wet,Weather,Serious Injury
Tuesday,45,Female,Primary,Motorcycle,6,60,Fog,Daylight,Snow,Drunk Driving,Serious Injury
Monday,28,Female,Primary,Bus,10,70,Cloudy,Daylight,Snow,Drunk Driving,Serious Injury
Sunday,51,Female,Tertiary,Motorcycle,28,60,Fog,Night,Ice,Drunk Driving,Serious Injury
Monday,25,Male,Illiterate,Bus,29,30,Rain,Night,Snow,Overspeed,Serious Injury
Saturday,39,Female,Secondary,Bus,12,70,Fog,Night,Dry,Weather,Serious Injury
Sunday,25,Male,Tertiary,Taxi,1,50,Cloudy,Twilight,Snow,Overspeed,Serious Injury
Saturday,66,Male,Secondary,Motorcycle,6,30,Clear,Daylight,Snow,Weather,Slight Injury
Wednesday,32,Male,Primary,Motorcycle,14,70,Cloudy,Daylight,Dry,Weather,Slight Injury
Sunday,34,Male,Tertiary,Automobile,24,70,Fog,Night,Wet,Overspeed,Fatal Injury
Friday,40,Female,Primary,Motorcycle,10,60,Clear,Daylight,Ice,Weather,Slight Injury
Monday,41,Female,Secondary,Automobile,1,30,Fog,Twilight,Ice,Drunk Driving,Fatal Injury
Tuesday,62,Male,Secondary,Lorry,6,50,Cloudy,Daylight,Wet,Overspeed,Serious Injury
Thursday,36,Male,Illiterate,Lorry,3,50,Clear,Daylight,Dry,Weather,Slight Injury
Monday,22,Male,Secondary,Lorry,10,30,Clear,Twilight,Ice,Distracted,Slight Injury
Monday,49,Male,Primary,Motorcycle,28,30,Fog,Night,Wet,Overspeed,Serious Injury
Wednesday,61,Female,Secondary,Motorcycle,1,80,Fog,Night,Wet,Fatigue,Fatal Injury
Friday,18,Male,Illiterate,Automobile,28,40,Cloudy,Daylight,Wet,Overspeed,Serious Injury
Thursday,40,Female,Illiterate,Bus,15,60,Fog,Twilight,Ice,Overspeed,Serious Injury
Sunday,54,Male,Primary,Automobile,6,30,Clear,Night,Ice,Overspeed,Serious Injury
Sunday,25,Male,Tertiary,Lorry,12,30,Rain,Night,Ice,Weather,Slight Injury
Sunday,30,Male,Secondary,Automobile,4,40,Rain,Night,Ice,Overspeed,Serious Injury
Saturday,25,Male,Illiterate,Bus,16,40,Cloudy,Daylight,Snow,Fatigue,Slight Injury
Saturday,40,Female,Secondary,Motorcycle,20,70,Fog,Twilight,Wet,Mechanical Failure,Serious Injury
Tuesday,60,Female,Secondary,Automobile,11,100,Cloudy,Daylight,Snow,Overspeed,Serious Injury
Thursday,18,Female,Tertiary,Lorry,27,50,Rain,Night,Wet,Distracted,Serious Injury
Sunday,62,Male,Illiterate,Lorry,18,60,Rain,Twilight,Ice,Fatigue,Slight Injury
